"e-folds N","cal(P)_zeta k=7.34e+03","cal(P)_zeta k=8.05e+06","max u_ij k=7.34e+03","max u_ij k=8.05e+06","max u_ijk k_t=22026.5","max u_ijk k_t=2.4155e+07","H"
1.9263999999999999e+01,5.6403816753439554e-11,6.1456820103131477e-07,8.8990319588725455e+01,1.5062926369339162e+04,1.7589150099833048e+05,1.7552250552441971e+05,8.3397841698394018e-06
1.9320000000000000e+01,5.6335955590195881e-11,5.4684937269368679e-07,8.9116165785579270e+01,1.3508776311257798e+04,1.7578142907307958e+05,1.7543620872121159e+05,8.3297419746916575e-06
1.9375999999999998e+01,5.6275207521777237e-11,4.8658201552016570e-07,8.9235228111629510e+01,1.2116089815618530e+04,1.7564820010850302e+05,1.7532571159824738e+05,8.3196639863986101e-06
1.9431999999999999e+01,5.6220824488486682e-11,4.3294715264181752e-07,8.9347397274527140e+01,1.0868078799531175e+04,1.7549165035472205e+05,1.7519081870792701e+05,8.3095499080058987e-06
1.9488000000000000e+01,5.6172137454905804e-11,3.8521692376472725e-07,8.9452565107070072e+01,9.7497018761344443e+03,1.7531162102179311e+05,1.7503135663352249e+05,8.2993994386860081e-06
1.9543999999999997e+01,5.6128548001619244e-11,3.4274171840590560e-07,8.9550624429173553e+01,8.7474824995885301e+03,1.7510795843129943e+05,1.7484717101018858e+05,8.2892122736692553e-06
1.9599999999999998e+01,5.6089520820223246e-11,3.0494062085793739e-07,8.9641468926599899e+01,7.8493460553450086e+03,1.7488051416982780e+05,1.7463812400692821e+05,8.2789881041732181e-06
1.9655999999999999e+01,5.6054577016537139e-11,2.7130543761062793e-07,8.9724993044584821e+01,7.0444739208838837e+03,1.7462914524422202e+05,1.7440409220849865e+05,8.2687266173305652e-06
1.9712000000000000e+01,5.6023288135215805e-11,2.4137252077926489e-07,8.9801091893956539e+01,6.3231727280647146e+03,1.7435371423823960e+05,1.7414496484361359e+05,8.2584274961152246e-06
1.9768000000000001e+01,5.5995270826576322e-11,2.1473993065302517e-07,8.9869661170189161e+01,5.6767572427122495e+03,1.7405408947124780e+05,1.7386064231351597e+05,8.2480904192668797e-06
1.9823999999999998e+01,5.5970182083952599e-11,1.9103979185032164e-07,8.9930597081893950e+01,5.0974454422727258e+03,1.7373014515806211e+05,1.7355103497936059e+05,8.2377150612136956e-06
1.9879999999999999e+01,5.5947714987461484e-11,1.6995155115270069e-07,8.9983796290440608e+01,4.5782645203651591e+03,1.7338176157092859e+05,1.7321606217392447e+05,8.2273010919932781e-06
1.9936000000000000e+01,5.5927594897565703e-11,1.5118870279367426e-07,9.0029155857407872e+01,4.1129666795918865e+03,1.7300882520273750e+05,1.7285565140579449e+05,8.2168481771717796e-06
1.9991999999999997e+01,5.5909576048999121e-11,1.3449452000736317e-07,9.0066573200498993e+01,3.6959536926919614e+03,1.7261122893199013e+05,1.7246973772960837e+05,8.2063559777611224e-06
2.0047999999999998e+01,5.5893438502190670e-11,1.1964095411406008e-07,9.0095946056629600e+01,3.3222093184529031e+03,1.7218887218928433e+05,1.7205826325866501e+05,8.1958241501342599e-06
2.0103999999999999e+01,5.5878985415034332e-11,1.0642535740407201e-07,9.0117172451214131e+01,2.9872387540373934e+03,1.7174166112517141e+05,1.7162117679937481e+05,8.1852523459384520e-06
2.0160000000000000e+01,5.5866040602538810e-11,9.4667380250478481e-08,9.0130150673578143e+01,2.6870143906886788e+03,1.7126950877954750e+05,1.7115843359001563e+05,8.1746402120064775e-06
2.0216000000000001e+01,5.5854446355519217e-11,8.4206556085305189e-08,9.0134779258722929e+01,2.4179272161892068e+03,1.7077233525281801e+05,1.7066999512868648e+05,8.1639873902657154e-06
2.0271999999999998e+01,5.5844061492187447e-11,7.4900266009265840e-08,9.0130956972295522e+01,2.1767432758836439e+03,1.7025006787781112e+05,1.7015582907614196e+05,8.1532935176450609e-06
2.0327999999999999e+01,5.5834759618539990e-11,6.6621566364521674e-08,9.0118582801980935e+01,1.9605646653870112e+03,1.6970264139374261e+05,1.6961590922331621e+05,8.1425582259795887e-06
2.0384000000000000e+01,5.5826427575168602e-11,5.9256745434554233e-08,9.0097555952189040e+01,1.7667945830030349e+03,1.6912999812116908e+05,1.6905021551254523e+05,8.1317811419129134e-06
2.0439999999999998e+01,5.5818964049823154e-11,5.2704357743722117e-08,9.0067775842817298e+01,1.5931060190658723e+03,1.6853208813829889e+05,1.6845873410430030e+05,8.1209618867971688e-06
2.0495999999999999e+01,5.5812278336914582e-11,4.6875805273446511e-08,9.0029142111488426e+01,1.4374137034736702e+03,1.6790886945849637e+05,1.6784145748190241e+05,8.1101000765905305e-06
2.0552000000000000e+01,5.5806289227186237e-11,4.1691697620895856e-08,8.9981554619599009e+01,1.2978489721461585e+03,1.6726030820914783e+05,1.6719838458806142e+05,8.0991953217522446e-06
2.0608000000000001e+01,5.5800924012919702e-11,3.7079443910963139e-08,8.9924913461290032e+01,1.1727372484855987e+03,1.6658637881159305e+05,1.6652952098752186e+05,8.0882472271350274e-06
2.0664000000000001e+01,5.5796117596129200e-11,3.2977438349590970e-08,8.9859118975301982e+01,1.0605778675851811e+03,1.6588706416212680e+05,1.6583487905118498e+05,8.0772553918748074e-06
2.0719999999999999e+01,5.5791811689078926e-11,2.9328574501157470e-08,8.9784071759664741e+01,9.6002599929161090e+02,1.6516235581405519e+05,1.6511447815773785e+05,8.0662194092777306e-06
2.0776000000000000e+01,5.5787954098000143e-11,2.6083059053216752e-08,8.9699672689190976e+01,8.6987645163504033e+02,1.6441225416079082e+05,1.6436834490941247e+05,8.0551388667042871e-06
